Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,23390,2023-11-14,0.0837302964,-0.010885648,-0.011803188,21,100
Market-Adjusted Model,23391,2023-11-14,0.0930385611,-0.00151888,-0.002494924,21,100
Market-Adjusted Model,23393,2023-11-14,0.0460671265,-0.044267766,-0.049466358,21,100
Market-Adjusted Model,23394,2023-11-14,0.0957258322,0.0004684547,0.0001923474,21,100
Market-Adjusted Model,23395,2023-11-14,0.1621426578,0.0760916013,0.0666091731,21,100
Market-Adjusted Model,23397,2023-11-14,-0.442934777,-0.639141776,-0.538468262,21,100
Market-Adjusted Model,23398,2023-11-14,-0.091362949,-0.185824034,-0.186896434,21,100
Market-Adjusted Model,23399,2023-11-14,0.1485838621,0.0508351758,0.0530503773,21,100
Market-Adjusted Model,23400,2023-11-14,0.1206078347,0.0237647211,0.02507435,21,100
Market-Adjusted Model,23401,2023-11-14,0.0710590073,-0.022936176,-0.024474477,21,100
Market-Adjusted Model,23402,2023-11-14,0.0576399316,-0.035532724,-0.037893553,21,100
Market-Adjusted Model,23403,2023-11-14,0.0918298455,-0.001907508,-0.003703639,21,100
Market-Adjusted Model,23404,2023-11-14,0.1045425236,0.0085583526,0.0090090389,21,100
Market-Adjusted Model,23407,2023-11-14,0.0665449185,-0.026948038,-0.028988566,21,100
Market-Adjusted Model,23408,2023-11-14,0.0059825616,-0.086017063,-0.089550923,21,100
Market-Adjusted Model,23409,2023-11-14,0.1225688179,0.0264942849,0.0270353331,21,100
Market-Adjusted Model,23410,2023-11-14,-0.072680407,-0.166153281,-0.168213891,21,100
Market-Adjusted Model,23414,2023-11-14,0.093613673,-0.00108942,-0.001919812,21,100
Market-Adjusted Model,23415,2023-11-14,-0.171590934,-0.266823618,-0.267124418,21,100
Market-Adjusted Model,23416,2023-11-14,-0.024043256,-0.11222064,-0.119576741,21,100
Market-Adjusted Model,23417,2023-11-14,0.0758038378,-0.009913113,-0.019729647,21,100
Market-Adjusted Model,23418,2023-11-14,-0.438857147,-0.364968473,-0.534390632,21,100
Market-Adjusted Model,23419,2023-11-14,-0.109007489,-0.205711832,-0.204540974,21,100
Market-Adjusted Model,23420,2023-11-14,0.1872079293,0.08337523,0.0916744446,21,100
Market-Adjusted Model,23423,2023-11-14,0.1899018831,0.1409177731,0.0943683984,21,100
Market-Adjusted Model,23424,2023-11-14,0.0693792298,-0.01307353,-0.026154255,21,100
Market-Adjusted Model,23425,2023-11-14,0.010757786,-0.080685949,-0.084775699,21,100
Market-Adjusted Model,23426,2023-11-14,0.0972222097,0.0398347553,0.001688725,21,100
Market-Adjusted Model,23427,2023-11-14,0.2201258035,0.1317653905,0.1245923187,21,100
Market-Adjusted Model,23428,2023-11-14,0.1531914777,0.0660584949,0.057657993,21,100
Market-Adjusted Model,23429,2023-11-14,0.0907761845,-0.004310252,-0.0047573,21,100
Market-Adjusted Model,23430,2023-11-14,-0.183872242,0.025988885,-0.279405727,21,100
Market-Adjusted Model,23431,2023-11-14,1.153933415,1.0369458732,1.0583999303,21,100
Market-Adjusted Model,23432,2023-11-14,0.2319587342,0.1618233614,0.1364252495,21,100
Market-Adjusted Model,23433,2023-11-14,0.1626740943,0.0683152718,0.0671406095,21,100
Market-Adjusted Model,23436,2023-11-14,0.1004913078,0.0048787511,0.0049578231,21,100
Market-Adjusted Model,23437,2023-11-14,0.0390071406,-0.053013866,-0.056526344,21,100
Market-Adjusted Model,23438,2023-11-14,0.1136355353,0.0166995363,0.0181020506,21,100
Market-Adjusted Model,23439,2023-11-14,0.223536413,0.1146872544,0.1280029283,21,100
Market-Adjusted Model,23440,2023-11-14,0.1487104095,0.048518429,0.0531769247,21,100
Market-Adjusted Model,23441,2023-11-14,0.0826368251,-0.012014663,-0.01289666,21,100
Market-Adjusted Model,23442,2023-11-14,0.1187145378,0.0258529315,0.023181053,21,100
Market-Adjusted Model,23443,2023-11-14,0.0927342513,-0.000295543,-0.002799233,21,100
Market-Adjusted Model,23445,2023-11-14,-0.319189366,-0.431173488,-0.41472285,21,100
Market-Adjusted Model,23446,2023-11-14,0.0027906729,-0.089218243,-0.092742812,21,100
Market-Adjusted Model,23447,2023-11-14,0.0495049061,-0.039652853,-0.046028579,21,100
Market-Adjusted Model,23451,2023-11-14,0.0009381076,-0.091020126,-0.094595377,21,100
Market-Adjusted Model,23452,2023-11-14,0.016100695,-0.075990106,-0.07943279,21,100
Market-Adjusted Model,23453,2023-11-14,0.1773058711,0.074150787,0.0817723863,21,100
Market-Adjusted Model,23454,2023-11-14,0.087888498,-0.007213601,-0.007644987,21,100
Market-Adjusted Model,23455,2023-11-14,0.0062965764,-0.085729771,-0.089236908,21,100
Market-Adjusted Model,23458,2023-11-14,0.2533120332,0.137446327,0.1577785485,21,100
Market-Adjusted Model,23459,2023-11-14,0.016853901,-0.075251845,-0.078679584,21,100
Market-Adjusted Model,23460,2023-11-14,0.0976125516,0.002546604,0.0020790669,21,100
Market-Adjusted Model,23461,2023-11-14,0.0498969464,-0.043161378,-0.045636538,21,100
Market-Adjusted Model,23462,2023-11-14,0.0530510158,-0.040063807,-0.042482469,21,100
Market-Adjusted Model,23463,2023-11-14,0.015463811,-0.076633464,-0.080069674,21,100
Market-Adjusted Model,23466,2023-11-14,-0.567799985,-0.766219866,-0.66333347,21,100
Market-Adjusted Model,23467,2023-11-14,0.0873978427,-0.00702022,-0.008135642,21,100
Market-Adjusted Model,23468,2023-11-14,0.0841672971,-0.00896426,-0.011366188,21,100
Market-Adjusted Model,23469,2023-11-14,0.0586232017,-0.021905967,-0.036910283,21,100
Market-Adjusted Model,23470,2023-11-14,0.0769802337,-0.017110469,-0.018553251,21,100
Market-Adjusted Model,23471,2023-11-14,0.0798322702,-0.014059837,-0.015701215,21,100
Market-Adjusted Model,23473,2023-11-14,0.0035892372,-0.087050576,-0.091944248,21,100
Market-Adjusted Model,23474,2023-11-14,0.1095488933,0.012779735,0.0140154086,21,100
Market-Adjusted Model,23475,2023-11-14,0.1147238482,0.0175588059,0.0191903635,21,100
Market-Adjusted Model,23476,2023-11-14,0.073977522,-0.019463809,-0.021555963,21,100
Market-Adjusted Model,23477,2023-11-14,0.0065681394,-0.081858861,-0.088965345,21,100
Market-Adjusted Model,23478,2023-11-14,0.0921357127,-0.003232884,-0.003397772,21,100
Market-Adjusted Model,23479,2023-11-14,0.1024462267,0.0070919707,0.006912742,21,100
Market-Adjusted Model,23482,2023-11-14,0.0503547957,-0.042610454,-0.045178689,21,100
Market-Adjusted Model,23483,2023-11-14,0.0097279243,-0.082307742,-0.08580556,21,100
Market-Adjusted Model,23484,2023-11-14,-0.027836226,-0.119478112,-0.12336971,21,100
Market-Adjusted Model,23485,2023-11-14,-0.003769216,-0.095046742,-0.099302701,21,100
Market-Adjusted Model,23486,2023-11-14,0.0615384793,-0.028923981,-0.033995005,21,100
Market-Adjusted Model,23487,2023-11-14,0.0620115309,-0.03163797,-0.033521954,21,100
Market-Adjusted Model,23488,2023-11-14,-0.00121081,-0.093206579,-0.096744295,21,100
Market-Adjusted Model,23489,2023-11-14,-0.00413725,-0.096134249,-0.099670735,21,100
Market-Adjusted Model,23490,2023-11-14,0.0542499404,-0.038942688,-0.041283544,21,100
Market-Adjusted Model,23491,2023-11-14,0.0987164253,0.0038371728,0.0031829406,21,100
Market-Adjusted Model,23492,2023-11-14,0.0332996905,-0.059050308,-0.062233794,21,100
Market-Adjusted Model,23493,2023-11-14,0.1119461976,0.0151208125,0.0164127128,21,100
Market-Adjusted Model,23496,2023-11-14,0.1054935173,0.0100093407,0.0099600326,21,100
Market-Adjusted Model,23498,2023-11-14,0.1800000112,0.1045596865,0.0844665265,21,100
Market-Adjusted Model,23504,2023-11-14,0.0841026141,0.0156774759,-0.011430871,21,100
Market-Adjusted Model,23505,2023-11-14,0.1347293357,0.038748145,0.0391958509,21,100
Market-Adjusted Model,23506,2023-11-14,0.3551218853,0.2285338837,0.2595884006,21,100
